Name,Ingredients,Healing,Buffs,Duration,Sources,Sell
Fried Egg,Egg(1),"50 Energy, 22 Health",N/A,N/A,Upgraded farmhouse,35g
Omelet,"Egg(1), Milk(1)","100 Energy, 45 Health",N/A,N/A,"The Queen of Sauce


28 Spring, Year 1

 Stardrop Saloon for 100g",125g
Salad,"Leek(1), Dandelion(1), Vinegar(1)","113 Energy, 50 Health",N/A,N/A,Emily(Mail - 3 hearts),110g
Cheese Cauliflower,"Cauliflower(1), Cheese(1)","138 Energy, 62 Health",N/A,N/A,Pam(Mail - 3 hearts),300g
Baked Fish,"Sunfish(1), Bream(1), Wheat Flour(1)","75 Energy, 33 Health",N/A,N/A,"The Queen of Sauce


7 Summer, Year 1",100g
Parsnip Soup,"Parsnip(1), Milk(1), Vinegar(1)","85 Energy, 38 Health",N/A,N/A,Caroline(Mail - 3 hearts),120g
Vegetable Medley,"Tomato(1), Beet(1)","165 Energy, 74 Health",N/A,N/A,Caroline(Mail - 7 hearts),120g
Complete Breakfast,"Fried Egg(1), Milk(1), Hashbrowns(1), Pancakes(1)","200 Energy, 90 Health","Farming(+2), Max Energy(+50)",7m,"The Queen of Sauce


21 Spring, Year 2",350g
Fried Calamari,"Squid(1), Wheat Flour(1), Oil(1)","80 Energy, 36 Health",N/A,N/A,Jodi(Mail - 3 hearts),150g
Strange Bun,"Wheat Flour(1), Periwinkle(1), Void Mayonnaise(1)","100 Energy, 45 Health",N/A,N/A,Shane(Mail - 7 hearts),225g
Lucky Lunch,"Sea Cucumber(1), Tortilla(1), Blue Jazz(1)","100 Energy, 45 Health",Luck(+3),11m 11s,"The Queen of Sauce


28 Spring, Year 2",250g
Fried Mushroom,"Common Mushroom(1), Morel(1), Oil(1)","135 Energy, 60 Health",Attack(+2),7m,Demetrius(Mail - 3 hearts),200g
Pizza,"Wheat Flour(1), Tomato(1), Cheese(1)","150 Energy, 67 Health",N/A,N/A,"The Queen of Sauce


7 Spring, Year 2

 Stardrop Saloon for 150g",300g
Bean Hotpot,Green Bean(2),"125 Energy, 56 Health","Max Energy(+30), Magnetism(+32)",7m,Clint(Mail - 7 hearts),100g
Glazed Yams,"Yam(1), Sugar(1)","200 Energy, 90 Health",N/A,N/A,"The Queen of Sauce


21 Fall, Year 1",200g
Carp Surprise,Carp(4),"90 Energy, 40 Health",N/A,N/A,"The Queen of Sauce


7 Summer, Year 2",150g
Hashbrowns,"Potato(1), Oil(1)","90 Energy, 40 Health",Farming(+1),5m 35s,"The Queen of Sauce


14 Spring, Year 2

 Stardrop Saloon for 50g",120g
Pancakes,"Wheat Flour(1), Egg(1)","90 Energy, 40 Health",Foraging(+2),11m 11s,"The Queen of Sauce


14 Summer, Year 1

 Stardrop Saloon for 100g",80g
Salmon Dinner,"Salmon(1), Amaranth(1), Kale(1)","125 Energy, 56 Health",N/A,N/A,Gus(Mail - 3 hearts),300g
Fish Taco,"Tuna(1), Tortilla(1), Red Cabbage(1), Mayonnaise(1)","165 Energy, 74 Health",Fishing(+2),7m,Linus(Mail - 7 hearts),500g
Crispy Bass,"Largemouth Bass(1), Wheat Flour(1), Oil(1)","90 Energy, 40 Health",Magnetism(+64),7m,Kent(Mail - 3 hearts),150g
Pepper Poppers,"Hot Pepper(1), Cheese(1)","130 Energy, 58 Health","Farming(+2), Speed(+1)",7m,Shane(Mail - 3 hearts),200g
Bread,Wheat Flour(1),"50 Energy, 22 Health",N/A,N/A,"The Queen of Sauce


28 Summer, Year 1

 Stardrop Saloon for 100g",60g
Tom Kha Soup,"Coconut(1), Shrimp(1), Common Mushroom(1)","175 Energy, 78 Health","Farming(+2), Max Energy(+30)",7m,Sandy(Mail - 7 hearts),250g
Trout Soup,"Rainbow Trout(1), Green Algae(1)","100 Energy, 45 Health",Fishing(+1),4m 39s,"The Queen of Sauce


14 Fall, Year 1",100g
Chocolate Cake,"Wheat Flour(1), Sugar(1), Egg(1)","150 Energy, 67 Health",N/A,N/A,"The Queen of Sauce


14 Winter, Year 1",200g
Pink Cake,"Melon(1), Wheat Flour(1), Sugar(1), Egg(1)","250 Energy, 112 Health",N/A,N/A,"The Queen of Sauce


21 Summer, Year 2",480g
Rhubarb Pie,"Rhubarb(1), Wheat Flour(1), Sugar(1)","215 Energy, 96 Health",N/A,N/A,Marnie(Mail - 7 hearts),400g
Cookie,"Wheat Flour(1), Sugar(1), Egg(1)","90 Energy, 40 Health",N/A,N/A,Evelyn(4-heart event),140g
Spaghetti,"Wheat Flour(1), Tomato(1)","75 Energy, 33 Health",N/A,N/A,Lewis(Mail - 3 hearts),120g
Fried Eel,"Eel(1), Oil(1)","75 Energy, 33 Health",Luck(+1),7m,George(Mail - 3 hearts),120g
Spicy Eel,"Eel(1), Hot Pepper(1)","115 Energy, 51 Health","Luck(+1), Speed(+1)",7m,George(Mail - 7 hearts),175g
Sashimi,Any Fish (1),"75 Energy, 33 Health",N/A,N/A,Linus(Mail - 3 hearts),75g
Maki Roll,"Any Fish (1), Seaweed(1), Rice(1)","100 Energy, 45 Health",N/A,N/A,"The Queen of Sauce


21 Summer, Year 1

 Stardrop Saloon for 300g",220g
Tortilla,Corn(1),"50 Energy, 22 Health",N/A,N/A,"The Queen of Sauce


7 Fall, Year 1

 Stardrop Saloon for 100g",50g
Red Plate,"Red Cabbage(1), Radish(1)","240 Energy, 108 Health",Max Energy(+50),3m 30s,Emily(Mail - 7 hearts),400g
Eggplant Parmesan,"Eggplant(1), Tomato(1)","175 Energy, 78 Health","Mining(+1), Defense(+3)",4m 39s,Lewis(Mail - 7 hearts),200g
Rice Pudding,"Milk(1), Sugar(1), Rice(1)","115 Energy, 51 Health",N/A,N/A,Evelyn(Mail - 7 hearts),260g
Ice Cream,"Milk(1), Sugar(1)","100 Energy, 45 Health",N/A,N/A,Jodi(Mail - 7 hearts),120g
Blueberry Tart,"Blueberry(1), Wheat Flour(1), Sugar(1), Egg(1)","125 Energy, 56 Health",N/A,N/A,Pierre(Mail - 3 hearts),150g
Autumn's Bounty,"Yam(1), Pumpkin(1)","220 Energy, 99 Health","Foraging(+2), Defense(+2)",7m 41s,Demetrius(Mail - 7 hearts),350g
Pumpkin Soup,"Pumpkin(1), Milk(1)","200 Energy, 90 Health","Defense(+2), Luck(+2)",7m 41s,Robin(Mail - 7 hearts),300g
Super Meal,"Bok Choy(1), Cranberries(1), Artichoke(1)","160 Energy, 72 Health","Max Energy(+40), Speed(+1)",3m 30s,Kent(Mail - 7 hearts),220g
Cranberry Sauce,"Cranberries(1), Sugar(1)","125 Energy, 56 Health",Mining(+2),3m 30s,Gus(Mail - 7 hearts),120g
Stuffing,"Bread(1), Cranberries(1), Hazelnut(1)","170 Energy, 76 Health",Defense(+2),5m 35s,Pam(Mail - 7 hearts),165g
Farmer's Lunch,"Omelet(1), Parsnip(1)","200 Energy, 90 Health",Farming(+3),5m 35s,Farming Level 3,150g
Survival Burger,"Bread(1), Cave Carrot(1), Eggplant(1)","125 Energy, 56 Health",Foraging(+3),5m 35s,Foraging Level 2,180g
Dish O' The Sea,"Sardine(2), Hashbrowns(1)","125 Energy, 56 Health",Fishing(+3),5m 35s,Fishing Level 3,220g
Miner's Treat,"Cave Carrot(2), Sugar(1), Milk(1)","125 Energy, 56 Health","Mining(+3), Magnetism(+32)",5m 35s,Mining Level 3,200g
Roots Platter,"Cave Carrot(1), Winter Root(1)","125 Energy, 56 Health",Attack(+3),5m 35s,Combat Level 3,100g
Triple Shot Espresso,Coffee(3),"8 Energy, 3 Health",Speed(+1),4m 12s,"Stardrop Saloon for 5,000g",450g
Seafoam Pudding,"Flounder(1), Midnight Carp(1), Squid Ink(1)","175 Energy, 78 Health",Fishing(+4),3m 30s,Fishing(Level 9),300g
Algae Soup,Green Algae(4),"75 Energy, 33 Health",N/A,N/A,Clint(Mail - 3 hearts),100g
Pale Broth,White Algae(2),"125 Energy, 56 Health",N/A,N/A,Marnie(Mail - 3 hearts),150g
Plum Pudding,"Wild Plum(2), Wheat Flour(1), Sugar(1)","175 Energy, 78 Health",N/A,N/A,"The Queen of Sauce


7 Winter, Year 1",260g
Artichoke Dip,"Artichoke(1), Milk(1)","100 Energy, 45 Health",N/A,N/A,"The Queen of Sauce


28 Fall, Year 1",210g
Stir Fry,"Cave Carrot(1), Common Mushroom(1), Kale(1), Oil(1)","200 Energy, 90 Health",N/A,N/A,"The Queen of Sauce


7 Spring, Year 1",335g
Roasted Hazelnuts,Hazelnut(3),"175 Energy, 78 Health",N/A,N/A,"The Queen of Sauce


28 Summer, Year 2",270g
Pumpkin Pie,"Pumpkin(1), Wheat Flour(1), Milk(1), Sugar(1)","225 Energy, 101 Health",N/A,N/A,"The Queen of Sauce


21 Winter, Year 1",385g
Radish Salad,"Oil(1), Vinegar(1), Radish(1)","200 Energy, 90 Health",N/A,N/A,"The Queen of Sauce


21 Spring, Year 1",300g
Fruit Salad,"Blueberry(1), Melon(1), Apricot(1)","263 Energy, 118 Health",N/A,N/A,"The Queen of Sauce


7 Fall, Year 2",450g
Blackberry Cobbler,"Blackberry(2), Sugar(1), Wheat Flour(1)","175 Energy, 78 Health",N/A,N/A,"The Queen of Sauce


14 Fall, Year 2",260g
Cranberry Candy,"Cranberries(1), Apple(1), Sugar(1)","125 Energy, 56 Health",N/A,N/A,"The Queen of Sauce


28 Winter, Year 1",175g
Bruschetta,"Bread(1), Oil(1), Tomato(1)","113 Energy, 50 Health",N/A,N/A,"The Queen of Sauce


21 Winter, Year 2",210g
Coleslaw,"Red Cabbage(1), Vinegar(1), Mayonnaise(1)","213 Energy, 95 Health",N/A,N/A,"The Queen of Sauce


14 Spring, Year 1",345g
Fiddlehead Risotto,"Oil(1), Fiddlehead Fern(1), Garlic(1)","225 Energy, 101 Health",N/A,N/A,"The Queen of Sauce


28 Fall, Year 2",350g
Poppyseed Muffin,"Poppy(1), Wheat Flour(1), Sugar(1)","150 Energy, 67 Health",N/A,N/A,"The Queen of Sauce


7 Winter, Year 2",250g
Chowder,"Clam(1), Milk(1)","225 Energy, 101 Health",Fishing(+1),16m 47s,Willy(Mail - 3 hearts),135g
Fish Stew,"Crayfish(1), Mussel(1), Periwinkle(1), Tomato(1)","225 Energy, 101 Health",Fishing(+3),16m 47s,Willy(Mail - 7 hearts),175g
Escargot,"Snail(1), Garlic(1)","225 Energy, 101 Health",Fishing(+2),16m 47s,Willy(Mail - 5 hearts),125g
Lobster Bisque,"Lobster(1), Milk(1)","225 Energy, 101 Health","Fishing(+3), Max Energy(+50)",16m 47s,"The Queen of Sauce


14 Winter, Year 2

 Willy(Mail - 9 hearts)",205g
Maple Bar,"Maple Syrup(1), Sugar(1), Wheat Flour(1)","225 Energy, 101 Health","Farming(+1), Fishing(+1), Mining(+1)",16m 47s,"The Queen of Sauce


14 Summer, Year 2",300g
Crab Cakes,"Crab(1), Wheat Flour(1), Egg(1), Oil(1)","225 Energy, 101 Health","Speed(+1), Defense(+1)",16m 47s,"The Queen of Sauce


21 Fall, Year 2",275g
Shrimp Cocktail,"Tomato(1), Shrimp(1), Wild Horseradish(1)","225 Energy, 101 Health","Fishing(+1), Luck(+1)",10m 2s,"The Queen of Sauce


28 Winter, Year 2",160g
Ginger Ale,"Ginger(3), Sugar(1)","63 Energy, 28 Health",Luck(+1),5m,"Dwarf Shop in Volcano on Ginger Island (1,000g)",200g
Banana Pudding,"Banana(1), Milk(1),(Any Milk), Sugar(1)","125 Energy, 56 Health","Mining(+1), Luck(+1), Defense(+1)",5m 1s,Island Trader,260g
Mango Sticky Rice,"Mango(1), Coconut(1), Rice(1)","113 Energy, 50 Health",Defense(+3),5m 1s,Leo(Mail - 7 hearts),250g
Poi,Taro Root(4),"75 Energy, 33 Health",N/A,N/A,Leo(Mail - 3 hearts),400g
Tropical Curry,"Coconut(1), Pineapple(1), Hot Pepper(1)","150 Energy, 67 Health",Foraging(+4),5m 1s,Ginger Island Resort,500g
Squid Ink Ravioli,"Squid Ink(1), Wheat Flour(1), Tomato(1)","125 Energy, 56 Health","Mining(+1), Squid Ink Ravioli Buff",4m 39s,Combat Level 9,150g
